Title, Prime Score, Rotten Tomatoes Score, IMDb Score, OnionPlay Link, Genre List, My Score, IMDb Summary, Awards, Must Watch 
Harry Potter and the Philosopher's Stone,4.8,8.2,7.6,https://onionplay.se/movies/harry-potter-and-the-philosophers-stone-2001/ ,Mystery Fantasy Adventure Action,8.7,An orphaned boy enrolls in a school of wizardry` where he learns the truth about himself` his family and the terrible evil that haunts the magical world.,Bogey Award + Critics Choice Award + Sierra Award + Maxwell Weinberg Award + AFI Special Award + Empire Special Award + PFCS Award + Golden Schmoes Award,True
The Lord of the Rings: The Fellowship of the Ring,4.8,9.5,8.9,https://onionplay.se/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-2001/ ,Fantasy Action Adventure Drama,7.5,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Saturn Award for Best Fantasy Film + Bogey Award + BAFTA Audience Award + Critics Choice Award + Golden Satellite Award + KCFCC Award + MTV Movie Award + OFCS Award + 2 People's Choice Award + AFI Award + Empire Award + Movieguide + PFCS Award + Guiness World Record + ACCA + 6 Golden Schmoes Awards + NCFCA Award + Golden Tomato Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
A Beautiful Mind,4.7,9.3,8.2,https://onionplay.se/movies/a-beautiful-mind-2001/ ,Drama Action Psychological,7.3,A mathematical genius` John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.,Critics Choice Award + DFWFCA Award + Golden Globe,True
Ice Age,4.8,8.2,7.5,https://onionplay.se/movies/ice-age-2002/ ,Animation Comedy Fantasy Adventure,6.7,Manny the mammoth` Sid the loquacious sloth` and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father` across a world on the brink of an ice age.,Bogey Award + KCFCC Award + Golden Schmoes Award,False
Spider-Man,4.5,6.7,7.4,https://onionplay.se/movies/spider-man-2002/ ,Action Superhero Romance Sci-Fi,7.5,After being bitten by a genetically-modified spider` a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.,Bogey Award + Maxwell Weinberg Award + People's Choice Award + Teen Choice Award + Golden Trailer + Movieguide Award + American Music Award,True
Star Wars: Episode II - Attack of the Clones,4.7,5.6,6.6,https://onionplay.se/movies/star-wars-episode-ii-attack-of-the-clones-2002/ ,Action Romance Fantasy Sci-Fi,8.6,Ten years after initially meeting` Anakin Skywalker shares a forbidden romance with Padmé Amidala` while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.,Bogey Award + Empire Award,True 
The Pianist,4.8,9.6,8.5,https://onionplay.se/movies/the-pianist-2002/ ,War Historical Music,8.6,During WWII` acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens` he hides in the ruins of Warsaw in order to survive.,BSFC Award + CEC Award + Award of the Japanese Academy + NBR Award + NSFC Award + OFCS Award + Harry Award + SFFCC Award + Nikkan Sports Film Award,True
The Bourne Identity,4.8,9.3,7.8,https://onionplay.se/movies/the-bourne-identity-2002/ ,Action Spy Crime Adventure,7.7,A man is picked up by a fishing boat` bullet-riddled and suffering from amnesia` before racing to elude assassins and attempting to regain his memory.,None,True
Scooby-Doo,4.7,4.0,5.3,https://onionplay.se/movies/scooby-doo-2002/ ,Mystery Comedy Adventure,3,After an acrimonious break up` the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.,None,False
Minority Report,4.5,8.0,7.6,https://onionplay.se/movies/minority-report-2002/ ,Sci-Fi Cyberpunk Psychological Action Mystery,7.9,John works with the PreCrime police which stop crimes before they take place` with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.,Saturn Award for Best Science Fiction Film + Bogey Award + Golden Schmoes Award,True 
Harry Potter and the Chamber of Secrets,4.8,8.0,7.4,https://onionplay.se/movies/harry-potter-and-the-chamber-of-secrets-2002/ ,Adventure Family Fantasy,7.6,Harry returns for his second year at Hogwarts where a series of messages on the walls warn that the Chamber of Secrets has been opened unleashing a monster that petrifies students.,None,True
Pirates of the Caribbean: On Stranger Tides,4.7,5.4,6.6,https://onionplay.se/movies/pirates-of-the-caribbean-on-stranger-tides-2011/ ,Action Adventure Fantasy,6.8,Captain Jack Sparrow crosses paths with a woman from his past and is forced aboard the ship of the formidable pirate Blackbeard embarking on a quest for the legendary Fountain of Youth.,None,False
Thor,4.7,7.6,7.0,https://onionplay.se/movies/thor-2011/ ,Action Adventure Fantasy,7.5,The powerful but arrogant god Thor is cast out of Asgard to live among humans in Midgard (Earth) where he becomes one of their finest defenders.,Saturn Award + Empire Award + Taurus World Stunt Award,False
Rango,4.7,7.0,7.3,https://onionplay.se/movies/rango-2011/ ,Animation Adventure Comedy Western,5.5,A chameleon who has lived as a sheltered family pet finds himself in the gritty town of Dirt a lawless outpost in the Wild West in desperate need of a new sheriff.,Academy Award + BAFTA Award + Annie Award,False
Tangled,4.8,8.7,7.7,https://onionplay.se/movies/tangled-2010/ ,Animation Adventure Comedy Family Fantasy Musical,8.4,The magically long-haired Rapunzel has spent her entire life in a tower but now that a runaway thief has stumbled upon her she is about to discover the world for the first time and who she really is.,Gold Derby Award,False
Harry Potter and the Deathly Hallows: Part I,4.8,8.5,7.7,https://onionplay.se/movies/harry-potter-and-the-deathly-hallows-part-1-2010/ ,Adventure Family Fantasy,8.8,Harry Ron and Hermione set out on a mission to destroy the Horcruxes the keys to Voldemort’s immortality but nowhere is safe now that Voldemort has gained control over Hogwarts and the Wizarding World.,BAFTA Award,True
Megamind,4.8,7.2,7.3,https://onionplay.se/movies/megamind-2010/ ,Animation Action Comedy Family Sci-Fi,7.7,After supervillain Megamind defeats his nemesis Metro Man he creates a new foe who instead of using his powers for good sets out to destroy the world positioning Megamind to save the day for the first time in his life.,ASCAP Film and Television Music Award,False
Scott Pilgrim vs the World,4.7,8.4,7.6,https://onionplay.se/movies/scott-pilgrim-vs-the-world-2010/ ,Action Comedy Fantasy Romance,8,Scott Pilgrim must defeat his new girlfriend’s seven evil exes who are coming to kill him in order to win her heart.,Empire Award + Webby Award,True
Despicable Me,4.8,8.3,7.6,https://onionplay.se/movies/despicable-me-2010/ ,Animation Comedy Family,8.4,When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme he finds their love is profoundly changing him for the better.,Kids’ Choice Award,False
Inception,4.6,9.1,8.8,https://onionplay.se/movies/inception-2010/ ,Action Adventure Sci-Fi Thriller,8.6,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Academy Award + BAFTA Award + Golden Globe,True
Toy Story 3,4.7,9.0,8.3,https://onionplay.se/movies/toy-story-3-2010/
Iron Man 2,4.7,7.1,6.9,https://onionplay.se/movies/iron-man-2-2010/
How to Train your Dragon,4.8,9.1,8.1,https://onionplay.se/movies/how-to-train-your-dragon-2010/
Alice in Wonderland,4.8,7.8,7.3,https://onionplay.se/movies/alice-in-wonderland-1951/
Sherlock Holmes,4.7,7.7,7.6,https://onionplay.se/movies/sherlock-holmes-2009/
Avatar,4.7,8.2,7.9,https://onionplay.se/movies/avatar-2009/
Princess and the Frog,4.8,7.4,7.2,https://onionplay.se/movies/the-princess-and-the-frog-2009/
Fantastic Mr. Fox,4.8,8.5,7.9,No Link
Cloudy with a Chance of Meatballs,4.7,7.2,6.9,No Link
Harry Potter and the Half-Blood Prince,4.9,7.8,7.6,https://onionplay.se/movies/harry-potter-and-the-half-blood-prince-2009/
Up,4.8,9.0,8.3,https://onionplay.se/movies/up-2009/
Coraline,4.8,7.4,7.7,https://onionplay.se/movies/coraline-2009/
The Curious Case of Benjamin Button,4.7,8.0,7.8,https://onionplay.se/movies/the-curious-case-of-benjamin-button-2008/
Twilight,4.7,7.2,5.3,https://onionplay.se/movies/twilight-2008/
Slumdog Millionaire,4.7,9.0,8.0,https://onionplay.se/movies/slumdog-millionaire-2008/
Step Brothers,4.7,6.9,6.9,https://onionplay.se/movies/step-brothers-2008/
Ponyo,4.9,8.3,7.6,No Link
WALL-E,4.8,9.0,8.4,No Link
Indiana Jones and the Kingdom of the Crystal Skull,4.6,5.3,6.2,https://onionplay.se/movies/indiana-jones-and-the-kingdom-of-the-crystal-skull-2008/
Kung Fu Panda,4.8,8.3,7.6,https://onionplay.se/movies/kung-fu-panda-2008/
Iron Man,4.8,9.1,7.9,https://onionplay.se/movies/iron-man-2008/
Enchanted,4.8,8.0,7.1,No Link
Bee Movie,4.8,5.3,6.1,https://onionplay.se/movies/bee-movie-2007/
Juno,4.7,8.8,7.4,https://onionplay.se/movies/juno-2007/
Harry Potter and the Order of the Phoenix,4.9,8.1,7.5,https://onionplay.se/movies/harry-potter-and-the-order-of-the-phoenix-2007/
Ratatouille,4.8,8.7,8.1,https://onionplay.se/movies/ratatouille-2007/
Pirates of the Caribbean: At World's End,4.8,7.2,7.1,https://onionplay.se/movies/pirates-of-the-caribbean-at-worlds-end-2007/
Spider-Man 3,4.7,5.1,6.3,https://onionplay.se/movies/spider-man-3-2007/
Superbad,4.7,8.7,7.6,https://onionplay.se/movies/superbad-2007/
Night at the Museum,4.7,6.7,6.5,https://onionplay.se/movies/night-at-the-museum-2006/
The Pursuit of Happyness,4.8,8.7,8.0,https://onionplay.se/movies/the-pursuit-of-happyness-2006/
Pirates of the Caribbean: Dead Man's Chest,4.8,7.2,7.4,https://onionplay.se/movies/pirates-of-the-caribbean-dead-mans-chest-2006/
Click,4.6,6.6,6.4,https://onionplay.se/movies/click-2006/
Monster House,4.7,6.4,6.6,https://onionplay.se/movies/monster-house-2006/
Cars,4.8,8.0,7.2,https://onionplay.se/movies/cars-2006/
High School Musical,4.6,7.4,5.6,https://onionplay.se/movies/high-school-musical-2006/
V for Vendetta,4.7,9.0,8.2,https://onionplay.se/movies/v-for-vendetta-2006/
The Chronicles of Narnia: The Lion` the Witch & the Wardrobe,4.8,6.1,6.9,https://onionplay.se/movies/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005/
Harry Potter and the Goblet of Fire,4.9,7.4,7.7,https://onionplay.se/movies/harry-potter-and-the-goblet-of-fire-2005/
Pride and Prejudice,4.9,8.9,7.8,https://onionplay.se/movies/pride-prejudice-2005/
Corpse Bride,4.8,7.7,7.4,https://onionplay.se/movies/corpse-bride-2005/
The 40-Year-Old Virgin,4.7,8.4,7.1,https://onionplay.se/movies/the-40-year-old-virgin-2005/
Charlie and the Chocolate Factory,4.7,5.1,6.7,https://onionplay.se/movies/charlie-and-the-chocolate-factory-2005/
Star Wars: Episode III - Revenge of the Sith,4.7,6.6,7.6,https://onionplay.se/movies/star-wars-episode-iii-revenge-of-the-sith-2005/
Madagascar,4.7,6.7,6.9,No Link
National Treasure,4.8,7.6,6.9,https://onionplay.se/movies/national-treasure-2004/
The Incredibles,4.7,7.5,8.0,https://onionplay.se/movies/the-incredibles-2004/
The Polar Express,4.8,6.4,6.6,https://onionplay.se/movies/the-polar-express-2004/
Shark Tale,4.7,4.8,6.0,No Link
Howl's Moving Castle,4.9,9.3,8.2,No Link
Spider-Man 2,4.8,8.2,7.5,https://onionplay.se/movies/spider-man-2-2004/
Napoleon Dynamite,4.7,7.4,7.0,No Link
Harry Potter and the Prisoner of Azkaban,4.8,8.6,7.9,https://onionplay.se/movies/harry-potter-and-the-prisoner-of-azkaban-2004/
Shrek 2,4.8,6.9,7.3,https://onionplay.se/movies/shrek-2-2004/
Mean Girls,4.7,6.6,7.1,https://onionplay.se/movies/mean-girls-2004/
Shaun of the Dead,4.8,9.3,7.9,https://onionplay.se/movies/shaun-of-the-dead-2004/
50 First Dates,4.9,6.5,6.8,https://onionplay.se/movies/50-first-dates-2004/
Lord of the Rings: The Return of the King,4.9,8.6,9.0,https://onionplay.se/movies/the-lord-of-the-rings-the-return-of-the-king-2003/
Elf,4.8,7.9,7.1,https://onionplay.se/movies/elf-2003/
School of Rock,4.8,6.4,7.2,https://onionplay.se/movies/school-of-rock-2003/
Pirates of the Caribbean: The Curse of the Black Pearl,4.8,8.6,8.1,https://onionplay.se/movies/pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003/
Finding Nemo,4.8,8.6,8.2,https://onionplay.se/movies/finding-nemo-2003/
The Lord of the Rings: The Two Towers,4.9,9.5,8.8,https://onionplay.se/movies/the-lord-of-the-rings-the-two-towers-2002/
Isle of Dogs,4.7,8.7,7.8,https://onionplay.se/movies/isle-of-dogs-2018/
Hereditary,4.3,7.0,7.3,https://onionplay.se/movies/hereditary-2018/
Star Wars: The Last Jedi,4.5,4.1,6.9,https://onionplay.se/movies/star-wars-the-last-jedi-2017/
The Greatest Showman,4.8,8.6,7.5,https://onionplay.se/movies/the-greatest-showman-2017/
Coco,4.5,9.4,8.4,https://onionplay.se/movies/coco-2017/
I` Tonya,4.4,8.8,7.5,https://onionplay.se/movies/i-tonya-2017/
Spider-Man: Homecoming,4.7,8.7,7.4,https://onionplay.se/movies/spider-man-homecoming-2017/
Pirates of the Caribbean: Dead Men Tell No Tales,4.7,6.0,6.5,https://onionplay.se/movies/pirates-of-the-caribbean-dead-men-tell-no-tales-2017/
Guardians of the Galaxy Vol. 2,4.7,8.7,7.6,https://onionplay.se/movies/guardians-of-the-galaxy-vol-2-2017/
Baby Driver,4.6,8.6,7.5,https://onionplay.se/movies/baby-driver-2017/
Beauty and the Beast,4.8,9.3,8.0,https://onionplay.se/movies/beauty-and-the-beast-1991/
The Lego Batman Movie,4.7,8.0,7.3,https://onionplay.se/movies/the-lego-batman-movie-2017/
Get Out,4.6,8.6,7.8,https://onionplay.se/movies/get-out-2017/
Call Me By Your Name,4.7,8.6,7.8,https://onionplay.se/movies/call-me-by-your-name-2017/
Rogue One: A Star Wars Story,4.7,8.7,7.8,https://onionplay.se/movies/rogue-one-a-star-wars-story-2016/
Hidden Figures,4.9,9.3,7.8,https://onionplay.se/movies/hidden-figures-2016/
Doctor Strange,4.5,8.6,7.5,https://onionplay.se/movies/doctor-strange-2016/
Moana,4.8,8.9,7.6,https://onionplay.se/movies/moana-2016/
Split,4.7,7.9,7.3,https://onionplay.se/movies/split-2016/
La La Land,4.5,8.1,8.0,https://onionplay.se/movies/la-la-land-2016/
Your Name,4.8,9.6,8.4,https://onionplay.se/movies/your-name-2016/
Finding Dory,4.7,8.4,7.2,https://onionplay.se/movies/finding-dory-2016/
Captain America: Civil War,4.7,8.9,7.8,https://onionplay.se/movies/captain-america-civil-war-2016/
Zootopia,4.8,9.2,8.0,https://onionplay.se/movies/zootopia-2016/
Star Wars: Episode VII - The Force Awakens,4.6,8.5,7.8,https://onionplay.se/movies/star-wars-the-force-awakens-2015/
The Hunger Games: Mockingjay - Part 2,4.7,6.6,6.5,https://onionplay.se/movies/the-hunger-games-mockingjay-part-2-2015/
The Martian,4.8,9.1,8.0,https://onionplay.se/movies/the-martian-2015/
Ant-Man,4.5,8.5,7.2,https://onionplay.se/movies/ant-man-2015/
Inside Out,4.7,8.9,8.1,https://onionplay.se/movies/inside-out-2015/
Avengers: Age of Ultron,4.7,8.2,7.3,https://onionplay.se/movies/avengers-age-of-ultron-2015/
The Hobbit: The Battle of the Five Armies,4.8,7.4,7.4,https://onionplay.se/movies/the-hobbit-the-battle-of-the-five-armies-2014/
Paddington, 4.8, 8.0, 7.3, https://onionplay.se/movies/paddington-2014/
The Hunger Games: Mockingjay - Part 1,4.8,7.1,6.6,https://onionplay.se/movies/the-hunger-games-mockingjay-part-1-2014/
Interstellar,4.5,8.6,8.7,https://onionplay.se/movies/interstellar-2014/
Big Hero 6,4.8,9.1,7.8,https://onionplay.se/movies/big-hero-6-2014/
John Wick,4.8,8.1,7.4,https://onionplay.se/movies/john-wick-2014/
The Judge,4.7,4.9,7.4,https://onionplay.ch/movie/59402-watch-the-judge-2014-online/,
Guardians of the Galaxy,4.8,9.2,8.0,https://onionplay.ch/movie/10232-watch-guardians-of-the-galaxy-2014-online/,
Maleficent,6.9,5.4,6.9,https://onionplay.ch/movie/176-watch-maleficent-2014-online/,
Edge of Tomorrow,4.8,9.1,7.9,https://onionplay.ch/movie/121-watch-edge-of-tomorrow-2014-online/,
How to Train Your Dragon 2,4.8,9.2,7.8,https://onionplay.ch/movie/7910-watch-how-to-train-your-dragon-2-2014-online/,
X-Men: Days of Future Past,4.6,9.0,7.9,https://onionplay.ch/movie/7733-watch-x-men-days-of-future-past-2014-online/,
The Amazing Spider-Man 2,4.7,5.0,6.6,https://onionplay.ch/movie/10210-watch-the-amazing-spider-man-2-2014-online/,
Captain America: The Winter Soldier,4.8,9.0,7.7,https://onionplay.ch/movie/4427-watch-captain-america-the-winter-soldier-2014-online/,
The Grand Budapest Hotel,8.1,9.2,8.1,https://onionplay.ch/movie/4193-watch-the-grand-budapest-hotel-2014-online/,
The Lego Movie,7.7,9.6,7.7,https://onionplay.ch/movie/11909-watch-the-lego-movie-2014-online/,
Whiplash,4.7,9.4,8.5,https://onionplay.ch/movie/12864-watch-whiplash-2014-online/
The Secret Life of Walter Mitty,4.7,5.2,7.3,https://onionplay.ch/movie/7433-watch-the-secret-life-of-walter-mitty-2013-online/,
The Hobbit: The Desolation of Smaug,4.8,7.4,7.8,https://onionplay.ch/movie/4197-watch-the-hobbit-the-desolation-of-smaug-2013-online/,
Frozen,4.8,8.9,7.4,https://onionplay.ch/movie/7706-watch-frozen-2013-online/,
The Hunger Games: Catching Fire,4.8,9.0,7.5,https://onionplay.ch/movie/10290-watch-the-hunger-games-catching-fire-2013-online/, 
Thor: The Dark World,4.7,6.7,6.7,https://onionplay.ch/movie/4445-watch-thor-the-dark-world-2013-online/,
Her,4.3,9.5,8.0,https://onionplay.ch/movie/4316-watch-her-2013-online/,
Despicable Me 2,4.8,7.5,7.3,https://onionplay.ch/movie/7902-watch-despicable-me-2-2013-online/,
Monsters University,4.6,8.0,7.2,https://onionplay.ch/movie/7932-watch-monsters-university-2013-online/, 
Iron Man 3,4.7,7.9,7.1,https://onionplay.ch/movie/4495-watch-iron-man-3-2013-online/, 
The Hobbit: An Unexpected Journey,4.8,6.4,7.8,https://onionplay.ch/movie/4367-watch-the-hobbit-an-unexpected-journey-2012-online/,
Wreck-It Ralph,4.8,8.7,7.7,https://onionplay.ch/movie/4045-watch-wreck-it-ralph-2012-online/, 
Life of Pi,4.7,8.6,7.9,https://onionplay.ch/movie/350-watch-life-of-pi-2012-online/,
Hotel Transylvania,4.8,4.5,7.0,https://onionplay.ch/movie/10350-watch-hotel-transylvania-2012-online/,
The Amazing Spider-Man,4.7,7.1,6.9,https://onionplay.ch/movie/10338-watch-the-amazing-spider-man-2012-online/,
Ted,4.6,6.9,6.9,https://onionplay.ch/movie/7387-watch-ted-2012-online/, 
Brave,4.8,7.8,7.1,https://onionplay.ch/movie/3059-watch-brave-2012-online/,
The Avengers,4.3,9.1,8.0,https://onionplay.ch/movie/10340-watch-the-avengers-2012-online/,
The Hunger Games,4.8,8.4,7.2,https://onionplay.ch/movie/10358-watch-the-hunger-games-2012-online/, 
Captain America: The First Avenger,4.7,8.0,6.9,https://onionplay.ch/movie/4425-watch-captain-america-the-first-avenger-2011-online/, 
Harry Potter and the Deathly Hallows: Part 2,4.9,9.6,8.1,https://onionplay.ch/movie/4483-watch-harry-potter-and-the-deathly-hallows-part-2-2011-online/,
Cars 2,4.6,3.9,6.2,https://onionplay.ch/movie/4261-watch-cars-2-2011-online/,
Kung Fu Panda 2,4.8,8.2,7.3,https://onionplay.ch/movie/3089-watch-kung-fu-panda-2-2011-online/,
Wonka,4.4,8.2,7.0,https://onionplay.ch/movie/49487-watch-wonka-2023-online/,
The Hunger Games: The Ballad of Songbirds and Snakes,4.4,6.4,6.7,https://onionplay.ch/movie/48504-watch-the-hunger-games-the-ballad-of-songbirds-snakes-2023-online/,
Five Nights at Freddy's,4.8,3.2,5.4,https://onionplay.ch/movie/46935-watch-five-nights-at-freddys-2023-online/,
Saltburn,3.4,7.1,7.0,https://onionplay.ch/movie/49193-watch-saltburn-2023-online/,
The Equalizer 3,4.7,7.6,6.8,https://onionplay.ch/movie/45827-watch-the-equalizer-3-2023-online/, 
The Boy and the Heron,4.6,9.6,7.4,https://onionplay.ch/movie/57868-watch-the-boy-and-the-heron-2023-online/,
Barbie,4.5,8.8,6.8,https://onionplay.ch/movie/44967-watch-barbie-2023-online/,
Spider-Man: Across the Spider-Verse,4.7,9.5,8.5,https://onionplay.ch/movie/43808-watch-spider-man-across-the-spider-verse-2023-online/,
Elemental,4.8,7.3,7.0,https://onionplay.ch/movie/43994-watch-elemental-2023-online/,
Guardians of the Galaxy: Vol. 3,4.7,8.2,7.9,https://onionplay.ch/movie/39779-watch-guardians-of-the-galaxy-volume-3-2023-online/,
Beau is Afraid,3.1,6.8,6.6,https://onionplay.ch/movie/41374-watch-beau-is-afraid-2023-online/,
The Super Mario Bros. Movie,3.5,5.9,7.0,https://onionplay.ch/movie/38713-watch-the-super-mario-bros-movie-2023-online/,
Evil Dead Rise,4.3,8.4,6.5,https://onionplay.ch/movie/39627-watch-evil-dead-rise-2023-online/, 
Knock at the Cabin,4.0,6.7,6.1,https://onionplay.ch/movie/37121-watch-knock-at-the-cabin-2023-online/,
M3GAN,3.15,9.3,6.3,https://onionplay.ch/movie/34920-watch-m3gan-2022-online/,
Puss in Boots: The Last Wish,4.7,9.5,7.8,https://onionplay.ch/movie/34886-watch-puss-in-boots-the-last-wish-2022-online/,
The Menu,4.3,8.8,7.2,https://onionplay.ch/movie/33537-watch-the-menu-2022-online/,
Don't Worry Darling,4.3,3.8,6.3,https://onionplay.ch/movie/32493-watch-dont-worry-darling-2022-online/,
Nope,4.6,8.3,6.8,https://onionplay.ch/movie/29301-watch-nope-2022-online/,
Bullet Train,4.3,5.3,7.3,https://onionplay.ch/movie/29278-watch-bullet-train-2022-online/,
The Gray Man,4.5,4.5,6.5,https://onionplay.ch/movie/28119-watch-the-gray-man-2022-online/, 
Thor: Love and Thunder,4.1,6.3,6.2,https://onionplay.ch/movie/27671-watch-thor-love-and-thunder-2022-online/
Elvis,7.3,7.7,7.3,https://onionplay.ch/movie/28610-watch-elvis-2022-online/,
Top Gun: Maverick,8.2,9.6,8.2,https://onionplay.ch/movie/28604-watch-top-gun-maverick-2022-online/,
The French Dispatch,4.2,7.5,7.1,https://onionplay.ch/movie/12870-watch-the-french-dispatch-2021-online/, 
Black Widow,4.5,7.9,6.6,https://onionplay.ch/movie/5519-watch-black-widow-2021-online/,
Luca,4.8,9.1,7.4,https://onionplay.ch/movie/8990-watch-luca-2021-online/,
Bo Burnham: Inside,4.9,9.5,8.6,https://onionplay.ch/movie/21948-watch-bo-burnham-inside-2021-online/,
Cruella,7.3,7.5,7.3,https://onionplay.ch/movie/5525-watch-cruella-2021-online/,
Soul,4.7,9.5,8.0,https://onionplay.ch/movie/5591-watch-soul-2020-online/,
Enola Holmes,4.6,9.1,6.6,https://onionplay.ch/movie/9204-watch-enola-holmes-2020-online/,
Onward,4.7,8.8,7.4,https://onionplay.ch/movie/186-watch-onward-2020-online/,
Star Wars: The Rise of Skywalker,4.5,5.1,6.4,https://onionplay.ch/movie/62-watch-star-wars-the-rise-of-skywalker-2019-online/, 
Frozen II,4.7,7.7,6.8,https://onionplay.ch/movie/7708-watch-frozen-ii-2019-online/,
Knives Out,4.0,9.7,7.9,https://onionplay.ch/movie/54-watch-knives-out-2019-online/, 
The Platform,4.5,8.1,7.0,https://onionplay.ch/movie/125-watch-the-platform-2019-online/,
Spider-Man: Far from Home,7.4,9.1,7.4,https://onionplay.ch/movie/9656-watch-spider-man-far-from-home-2019-online/, 
Midsommar,4.3,8.3,7.1,https://onionplay.ch/movie/180-watch-midsommar-2019-online/, 
Toy Story 4,4.7,9.7,7.6,https://onionplay.ch/movie/4395-watch-toy-story-4-2019-online/,
Parasite,4.5,9.9,8.5,https://onionplay.ch/movie/79-watch-parasite-2019-online/, 
The Lighthouse,4.5,9.0,7.4,https://onionplay.ch/movie/214-watch-the-lighthouse-2019-online/, 
Rocketman,7.3,8.9,7.3,https://onionplay.ch/movie/272-watch-rocketman-2019-online/,
Avengers: Endgame,4.7,9.4,8.4,https://onionplay.ch/movie/9658-watch-avengers-endgame-2019-online/, 
Shazam,7.0,9.0,7.0,https://onionplay.ch/movie/364-watch-shazam-2019-online/,
Us,6.8,9.3,6.8,https://onionplay.ch/movie/226-watch-us-2019-online/,
Spider-Man: Into the Spider-Verse,4.8,9.7,8.4,https://onionplay.ch/movie/9736-watch-spider-man-into-the-spider-verse-2018-online/, 
Ralph Breaks the Internet,4.6,8.8,7.0,https://onionplay.ch/movie/3158-watch-ralph-breaks-the-internet-2018-online/, 
Bohemian Rhapsody,7.9,6.0,7.9,https://onionplay.ch/movie/1286-watch-bohemian-rhapsody-2018-online/, 
Beautiful Boy,7.4,6.8,7.4,https://onionplay.ch/movie/48047-watch-beautiful-boy-2018-online/, 
Crazy Rich Asians,4.7,9.1,6.9,https://onionplay.ch/movie/107-watch-crazy-rich-asians-2018-online/, 
Ant-Man and the Wasp,4.6,8.7,7.0,https://onionplay.ch/movie/9742-watch-ant-man-and-the-wasp-2018-online/, 
Incredibles 2,4.7,9.3,7.5,https://onionplay.ch/movie/4029-watch-incredibles-2-2018-online/, 
The House that Jack Built,6.8,6.8,5.9,https://onionplay.ch/movie/1042-watch-the-house-that-jack-built-2018-online/,
Solo: A Star Wars Story,4.5,6.9,6.9,https://onionplay.ch/movie/9766-watch-solo-a-star-wars-story-2018-online/,
Avengers: Infinity War,4.7,8.5,8.4,https://onionplay.ch/movie/9734-watch-avengers-infinity-war-2018-online/,
Ready Player One,4.7,7.1,7.4,https://onionplay.ch/movie/198-watch-ready-player-one-2018-online/, 
Blade Runner 2049,4.5,8.8,8.0,https://onionplay.ch/movie/97-watch-blade-runner-2049-2017-online/, 
Thor: Ragnarok,4.7,9.3,7.9,https://onionplay.ch/movie/9894-watch-thor-ragnarok-2017-online/, 
The Devil Wears Prada,6.9,7.5,6.9,https://onionplay.ch/movie/7405-watch-the-devil-wears-prada-2006-online/, 
Moonrise Kingdom,4.7,9.3,7.8,https://onionplay.ch/movie/7555-watch-moonrise-kingdom-2012-online/, 
Die Hard,8.2,9.4,8.2,https://onionplay.ch/movie/22022-watch-die-hard-1988-online/, 
Free Guy,4.6,8.0,7.1,https://onionplay.ch/movie/35416-watch-free-guy-2021-online/, 
Mulan,7.7,9.2,7.7,https://onionplay.ch/movie/22733-watch-mulan-1998-online/, 
Fantastic Beasts and Where to Find Them,4.7,7.4,7.2,https://onionplay.ch/movie/129-watch-fantastic-beasts-and-where-to-find-them-2016-online/, 
Jurassic World,4.8,7.2,6.9,https://onionplay.ch/movie/10118-watch-jurassic-world-2015-online/, 
Grease,7.2,6.6,7.2,https://onionplay.ch/movie/10553-watch-grease-1978-online/, 
It's a Wonderful Life,8.6,9.4,8.6,https://onionplay.ch/movie/22032-watch-its-a-wonderful-life-1946-online/, 
Eraserhead,4.2,8.7,7.3,No Link, 
Lilo & Stitch,4.8,8.6,7.3,https://onionplay.ch/movie/65807-watch-lilo-stitch-2002-online/, 
Hercules,4.8,8.3,7.3,https://onionplay.ch/movie/12803-watch-hercules-1997-online/, 
The Iron Giant,4.9,9.6,8.1,https://onionplay.ch/movie/35947-watch-the-iron-giant-1999-online/, 
Doctor Sleep,4.5,7.8,7.3,https://onionplay.ch/movie/117-watch-doctor-sleep-2019-online/, 
The Help,4.8,7.6,8.1,https://onionplay.ch/movie/4037-watch-the-help-2011-online/, 
Les Miserables,4.7,7.0,7.5,No Link, 
The Boy in the Striped Pyjamas,4.8,6.5,7.7,https://onionplay.ch/movie/10917-watch-the-boy-in-the-striped-pyjamas-2008-online/, 
Lion King,4.6,9.3,8.5,https://onionplay.ch/movie/23570-watch-the-lion-king-1994-online/, 
