Title (String title of movie if a comma is used it is replaced with `), Prime Score (Float out of 5), Rotten Tomatoes Score (Float out of 10), IMDb Score (Float out of 10), OnionPlay Link (String link to onionplay or No Link), Genre List (String list of genres), My Score (Float out of 10), IMDb Summary (String description of movie if a comma is used it is replaced with `), Awards (String list separated by '+'), Must Watch (Bool value) 
The Lord of the Rings: The Fellowship of the Ring,4.8,9.5,8.9,https://onionplay.se/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-2001/ ,Fantasy Action Adventure Drama,7.5,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Saturn Award + Bogey Award + BAFTA Audience Award + Critics Choice Award + Golden Satellite Award + KCFCC Award + MTV Movie Award + OFCS Award + 2 People's Choice Award + AFI Award + Empire Award + Movieguide + PFCS Award + Guiness World Record + ACCA + 6 Golden Schmoes Awards + NCFCA Award + Golden Tomato Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
A Beautiful Mind,4.7,9.3,8.2,https://onionplay.se/movies/a-beautiful-mind-2001/ ,Drama Action Psychological,7.3,A mathematical genius` John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.,Critics Choice Award + DFWFCA Award + Golden Globe,True
Ice Age,4.8,8.2,7.5,https://onionplay.se/movies/ice-age-2002/ ,Animation Comedy Fantasy Adventure,6.7,Manny the mammoth` Sid the loquacious sloth` and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father` across a world on the brink of an ice age.,Bogey Award + KCFCC Award + Golden Schmoes Award,False
Spider-Man,4.5,6.7,7.4,https://onionplay.se/movies/spider-man-2002/ ,Action Superhero Romance Sci-Fi,7.5,After being bitten by a genetically-modified spider` a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.,Bogey Award + Maxwell Weinberg Award + People's Choice Award + Teen Choice Award + Golden Trailer + Movieguide Award + American Music Award,True
Star Wars: Episode II - Attack of the Clones,4.7,5.6,6.6,https://onionplay.se/movies/star-wars-episode-ii-attack-of-the-clones-2002/ ,Action Romance Fantasy Sci-Fi,8.6,Ten years after initially meeting` Anakin Skywalker shares a forbidden romance with Padmé Amidala` while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.,Bogey Award + Empire Award,True 
The Pianist,4.8,9.6,8.5,https://onionplay.se/movies/the-pianist-2002/ ,War Historical Music,8.6,During WWII` acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens` he hides in the ruins of Warsaw in order to survive.,BSFC Award + CEC Award + Award of the Japanese Academy + NBR Award + NSFC Award + OFCS Award + Harry Award + SFFCC Award + Nikkan Sports Film Award,True
The Bourne Identity,4.8,9.3,7.8,https://onionplay.se/movies/the-bourne-identity-2002/ ,Action Spy Crime Adventure,7.7,A man is picked up by a fishing boat` bullet-riddled and suffering from amnesia` before racing to elude assassins and attempting to regain his memory.,None,True
Scooby-Doo,4.7,4.0,5.3,https://onionplay.se/movies/scooby-doo-2002/ ,Mystery Comedy Adventure,3,After an acrimonious break up` the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.,None,False
Minority Report,4.5,8.0,7.6,https://onionplay.se/movies/minority-report-2002/ ,Sci-Fi Cyberpunk Psychological Action Mystery,7.9,John works with the PreCrime police which stop crimes before they take place` with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.,Saturn Award for Best Science Fiction Film + Bogey Award + Golden Schmoes Award,True 
Harry Potter and the Chamber of Secrets,4.8,8.0,7.4,https://onionplay.se/movies/harry-potter-and-the-chamber-of-secrets-2002/ ,Adventure Family Fantasy,7.6,Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that` to save the school` it will take a lot of courage,BAFTA Kids' Vote + Critics Choice Award + Huabiao Film Award + AFI Special Award + Empire Special Award + PFCS Award + Nickelodeon Kids Choice Award,True
Pirates of the Caribbean: On Stranger Tides,4.7,5.4,6.6,https://onionplay.se/movies/pirates-of-the-caribbean-on-stranger-tides-2011/ ,Action Adventure Fantasy,6.8,Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth` only to discover that Blackbeard and his daughter are after it too.,Movieguide Award + Scream Award,False
Thor,4.7,7.6,7.0,https://onionplay.se/movies/thor-2011/ ,Action Adventure Fantasy,7.5,The powerful but arrogant god Thor is cast out of Asgard to live among humans in Midgard (Earth) where he becomes one of their finest defenders.,Empire Award,False
Rango,4.7,7.0,7.3,https://onionplay.se/movies/rango-2011/ ,Animation Adventure Comedy Western,5.5,Rango is an ordinary chameleon who accidentally winds up in the town of Dirt` a lawless outpost in the Wild West in desperate need of a new sheriff.,Annie Award + BSFC Award + Critics Choice Award + CFCA Award + DFWFCA Award + KCFCC Award + LAFCA Award + NBR Award + OFCS Award + SEFCA Award + AFFCC Award + PFCS Award + AFCA Award + WAFCA Award + ICS Award + IFJA Award + IFC Award + 2 IGN Awards + UFCA Award + HFCS Award + VVFP Award + ACCA + Golden Schmoes Award + BFCC Award
Harry Potter and the Deathly Hallows: Part I,4.8,8.5,7.7,https://onionplay.se/movies/harry-potter-and-the-deathly-hallows-part-1-2010/ ,Adventure Family Fantasy,8.8,Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever` but dark forces threaten to tear them apart.,Max Movie Award + ACCA Honorable Mention + IGN Award + AFI Special Award + Teen Choice Award,True
Megamind,4.8,7.2,7.3,https://onionplay.se/movies/megamind-2010/ ,Animation Action Comedy Family Sci-Fi,7.7,Evil genius Megamind finally defeats his do-gooder nemesis` Metro Man` but is left without a purpose in a superhero-free world.,Davis Award,False
Scott Pilgrim vs the World,4.7,8.4,7.6,https://onionplay.se/movies/scott-pilgrim-vs-the-world-2010/ ,Action Comedy Fantasy Romance,8,A young man must defeat his new girlfriend's seven evil exes` who are willing to do anything to prevent her happiness with someone else.,Satellite Award + SLFCA Award + NYFCO Award + 2 Scream Awards + OFTA Film Award + ACCA Honorable Mention + 4 Golden Schmoes + IFCS Award,True
Despicable Me,4.8,8.3,7.6,https://onionplay.se/movies/despicable-me-2010/ ,Animation Comedy Family,8.4,Gru` a criminal mastermind` adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.,Blimp Award + WFCC Award,False
Inception,4.6,9.1,8.8,https://onionplay.se/movies/inception-2010/ ,Action Adventure Sci-Fi Thriller,8.6,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Saturn Award + FFCC Award + Vincent Koehler Award + NBR Award + AFI Award + Golden Trailer + PFCS Award + COFCA Award + NTFCA Award + SLFCA Award + NYFCO Award + Original Vision Award + 3 Scream Awards + IGN Award + OFTA Film Award + VVFP Award + ACCA + Davis Award + IOMA Award + 8 Golden Schmoes + WFCC Award + INOCA Award + IFCS Award + Max Movie Award + 2 Georges Awards + Inducted into: OFTA Film Hall of Fame,True
Toy Story 3,4.7,9.0,8.3,https://onionplay.se/movies/toy-story-3-2010/ ,Animation Adventure Comedy Family Fantasy,7.3,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college` and it's up to Woody to convince the other toys that they weren't abandoned and to return home.,Saturn Award + BSFC Award + Critics Choice Award + CFCA Award + DFWFCA Award + FFCC Award + Golden Globe + Satellite Award + KCFCC Award + 2 Sierra Awards + 2 NBR Awards + OFCS Award + People's Choice Award + SDFCS Award + SEFCA Award + Teen Choice Award + AFI Award + SFFCC Award + Movieguide Award + PFCS Award + COFCA Award + AFCA Award + WAFCA Award + NYFCO Award + IFC Award + Lumiere People's Choice Award + DFCS Award + IGN Award + UFCA Award + OFCC Award + HFCS Award + VVFP Award + ACCA Award + Davis Award + Golden Schmoes Award + WFCC Award + Gold Derby Film Award + W3 Best in Show + Golden Tomato Award + Inducted into: OFTA Film Hall of Fame,False
Iron Man 2,4.7,7.1,6.9,https://onionplay.se/movies/iron-man-2-2010/ ,Action Adventure Sci-Fi,6.7,With the world now aware of his identity as Iron Man` Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.,Hollywood Film Award + People's Choice Award + Golden Schmoes Award,False
How to Train Your Dragon,4.8,9.1,8.1,https://onionplay.se/movies/how-to-train-your-dragon-2010/ ,Animation Adventure Family Fantasy,8.8,A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself and learns there may be more to the creatures than he assumed.,Annie Award + IFJA Award + 2 Lumiere Awards + TFCA Award + Georges Award,True
Alice in Wonderland,4.8,7.8,7.3,https://onionplay.se/movies/alice-in-wonderland-1951/ ,Animation Adventure Family Fantasy Musical,9,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,Photoplay Award + Inducted into: OFTA Film Hall of Fame,True
Sherlock Holmes,4.7,7.7,7.6,https://onionplay.se/movies/sherlock-holmes-2009/ ,Action Adventure Crime Mystery,7.9,Detective Sherlock Holmes and his partner Dr. Watson engage in a battle of wits and brawn with a nemesis whose plot threatens all of England.,Teen Choice Award + Empire Award,True
Avatar,4.7,8.2,7.9,https://onionplay.se/movies/avatar-2009/ ,Action Adventure Fantasy Sci-Fi,8.4,A paraplegic Marine dispatched to the moon Pandora becomes torn between following his orders and protecting the world he feels is his home.,Saturn Award + 4  Critics Choice + EMA Award + Golden Globe + Award of the Japanese Academy + Sierra Award + Huabiao Award + Rembrandt Award + Teen Choice Award + Empire Award + Golden Trailer + PFCS Award + Readers' Choice Award + SLFCA Award + 2 NYFCO Awards + 2 Scream Awards + Jupiter Award + 2 ACCAs + 2 Golden Schmoes + IFCS Award + 2 Georges + Inducted into: OFTA Film Hall of Fame,
The Princess and the Frog,4.8,7.4,7.2,https://onionplay.se/movies/the-princess-and-the-frog-2009/ ,Animation Adventure Family Fantasy Musical Romance,8.3,A waitress desperate to fulfill her dreams as a restaurant owner is set on a journey to turn a frog prince back into a human being.,None,True
Fantastic Mr. Fox,4.8,8.5,7.9,No Link,Animation Adventure Comedy Crime Family,9.5,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Satellite Award + 2 Sierra Awards + NYFCC Award  + TFCA Award + ICS Award + NYFCO Award + IFJA Award + UFCA Award + OFCC Award,True
Cloudy with a Chance of Meatballs,4.7,7.2,6.9,No Link,Animation Adventure Comedy Family Sci-Fi,7.8,A young inventor creates a machine that turns water into food but it malfunctions and causes food to rain from the sky.,None,False
Harry Potter and the Half-Blood Prince,4.9,7.8,7.6,https://onionplay.se/movies/harry-potter-and-the-half-blood-prince-2009/ ,Adventure Family Fantasy Mystery,7.4,As Harry Potter begins his sixth year at Hogwarts he discovers a mysterious book and learns more about Lord Voldemort's dark past.,SFX Award + AFI Special Award PFCS Award + National Movie Award + Scream Award,True
Up,4.8,9.0,8.3,https://onionplay.se/movies/up-2009/ ,Adventure Animation Comedy Family,9.2,An elderly man fulfills his lifelong dream of adventure by tying thousands of balloons to his house and flying to South America accompanied by an unexpected stowaway.,Annie Award + BSFC Award + Critics Choice Award + Palm Dog + CFCA Award + DFWFCA Award + FCC Award + Golden Globe + KCCC Award + Blimp Award + 2 NBR Awards + OFCS Award + People's Choice Award + SDFCS Award + SEFCA Award + Teen Choice Award + AFI Award + Movieguide Award + PFCS Award + COFCA Award + AFCA Award + WAFCA Award + SLFCA Award + DFCS Award + 2 NYFCO Awards + IFC Award + IGN Award + HFCS Award + OFTA Film Award + 2 ACCAs + IOMA Award + Golden Schmoes Award + WFCC Award + Gold Derby Film Award + Golden Tomato Award + Inducted into: OFTA Film Hall of Fame,True
Coraline,4.8,7.4,7.7,https://onionplay.se/movies/coraline-2009/ ,Animation Drama Family Fantasy,8.6,An adventurous girl finds another world that is a strangely idealized version of her frustrating home but it has sinister secrets.,AFI Award,True
The Curious Case of Benjamin Button,4.7,8.0,7.8,https://onionplay.se/movies/the-curious-case-of-benjamin-button-2008/ ,Drama Fantasy Romance,7.2,Benjamin Button is born with the appearance of an elderly man and ages in reverse experiencing life and love in unique ways.,Saturn Award + Sierra Award + NBR Award + AFI Award + 2 SLFCA Awards + NYFCO Award + OFCC Award + HFCS Award + ACCA + 3 IOMA Awards + Golden Schmoes Award + 2 INOCA Awards + IFCS Award,True
Twilight,4.7,7.2,5.3,https://onionplay.se/movies/twilight-2008/ ,Drama Fantasy Romance,,A teenage girl risks everything when she falls in love with a vampire.,MTV Movie Award + Teen Choice Award + Vision Award + 2 People's Choice Awards + 3 Teen Choice Awards + Scream Award + Golden Schmoes Award + Brave Otto Germany Award + American Music Award,False
Slumdog Millionaire,4.7,9.0,8.0,https://onionplay.se/movies/slumdog-millionaire-2008/ ,Drama Romance,,A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of "Who Wants to Be a Millionaire?",BSFC Award + British Independent Film Award + Critics Choice Award + DFWFCA Award + FFCC Award + Golden Globe + Satellite Award + Image Award + KCFCC Award + ALFS Award + NBR Award + SDFCS Award + Black Reel Award + PFCS Award + WAFCA Award + NTFCA Award + SLFCA Award + EDA Special Mention Award + DFCS Award + 2 NYFCO Awards + IFC Award + 2 OFCC Awards + 2 IOFCP Awards,True
Step Brothers,4.7,6.9,6.9,https://onionplay.se/movies/step-brothers-2008/ ,Comedy,4.5,Two middle-aged men are forced to live together as brothers after their single parents marry.,Golden Trailer,False
Ponyo,4.9,8.3,7.6,No Link,Animation Adventure Family Fantasy,9.7,A goldfish princess escapes from her ocean home and is rescued by a boy on land leading to a magical adventure.,Award of the Japanese Academy + Ofuji Noburo Award,True
WALL-E,4.8,9.0,8.4,No Link,Animation Adventure Family Sci-Fi,9.7,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind.,Saturn Award + 2 BSFC Awards + Critics Choice Award + 2 CFCA Awards + CEC Award + DFWFCA Award + FFCC Award + Golden Globe + Satellite Award + KCFCC Award + Sierra Award + LAFCA Award + 2 NBR Awards + NYFCC Award + 2 OFCS Awards + People's Choice Award + SDFCS Award + SEFCA Award + TFCA Award + AFI Award + Movieguide Award + PFCS Award + 2 COFCA Awards + AFCA Award + WAFCA Award + National Movie Award + 2 NYFCO Awards + Scream Award + IFC Award + UFCA Award + 2 OFCC Awards + HFCS Award + 2 OFTA Film Awards + VVFP Award + 2 ACCAs + IOMA Award + Golden Schmoes Award + 2 WFCC Awards + Gold Derby Film Award + Georges Award + Golden Tomato Award + Inducted into: OFTA Film Hall of Fame and National Film Registry,True
Indiana Jones and the Kingdom of the Crystal Skull,4.6,5.3,6.2,https://onionplay.se/movies/indiana-jones-and-the-kingdom-of-the-crystal-skull-2008/ ,Action Adventure,,Famed archaeologist Indiana Jones returns to adventure when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts.,None,
Kung Fu Panda,4.8,8.3,7.6,https://onionplay.se/movies/kung-fu-panda-2008/ ,Action Adventure Animation Comedy Family,,A clumsy panda becomes an unlikely kung fu hero when an ancient prophecy comes true.,None,
Iron Man,4.8,9.1,7.9,https://onionplay.se/movies/iron-man-2008/ ,Action Adventure Sci-Fi,,After being held captive a billionaire engineer creates a unique weaponized suit of armor to fight evil.,None,
Enchanted,4.8,8.0,7.1,No Link ,Animation Comedy Family Fantasy Musical Romance,,A princess from a fairy tale world is thrust into modern-day New York City where she must navigate the real world.,None,
Bee Movie,4.8,5.3,6.1,https://onionplay.se/movies/bee-movie-2007/ ,Animation Adventure Comedy Family,,A bee sues the human race for exploiting bees after learning about honey production.,None,
Juno,4.7,8.8,7.4,https://onionplay.se/movies/juno-2007/ ,Comedy Drama Romance,,A teenager deals with an unplanned pregnancy by seeking out adoptive parents.,None,
Harry Potter and the Order of the Phoenix,4.9,8.1,7.5,https://onionplay.se/movies/harry-potter-and-the-order-of-the-phoenix-2007/ ,Adventure Family Fantasy Mystery,,Harry Potter and his friends form a secret group to stand up against the oppressive new regime at Hogwarts.,None,
Ratatouille,4.8,8.7,8.1,https://onionplay.se/movies/ratatouille-2007/ ,Animation Comedy Family Fantasy,,A rat who dreams of becoming a chef teams up with a young kitchen worker at a famous Paris restaurant.,Academy Award + BAFTA Award + Golden Globe Award,
Pirates of the Caribbean: At World's End,4.8,7.2,7.1,https://onionplay.se/movies/pirates-of-the-caribbean-at-worlds-end-2007/ ,Action Adventure Fantasy,,Captain Jack Sparrow and his allies face off against the East India Trading Company in a battle for the seas.,None,
Spider-Man 3,4.7,5.1,6.3,https://onionplay.se/movies/spider-man-3-2007/ ,Action Adventure Sci-Fi,,Peter Parker faces new challenges as he battles multiple villains and his own inner demons.,None,
Superbad,4.7,8.7,7.6,https://onionplay.se/movies/superbad-2007/ ,Comedy,,Two high school friends try to enjoy a final party before graduation while dealing with awkward mishaps.,None,
Night at the Museum,4.7,6.7,6.5,https://onionplay.se/movies/night-at-the-museum-2006/ ,Adventure Comedy Family Fantasy,,A night guard at a museum discovers exhibits come to life after dark.,None,
The Pursuit of Happyness,4.8,8.7,8.0,https://onionplay.se/movies/the-pursuit-of-happyness-2006/ ,Biography Drama,,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor.,None,
Pirates of the Caribbean: Dead Man's Chest,4.8,7.2,7.4,https://onionplay.se/movies/pirates-of-the-caribbean-dead-mans-chest-2006/ ,Action Adventure Fantasy,,Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones's service.,None,
Click,4.6,6.6,6.4,https://onionplay.se/movies/click-2006/ ,Comedy Drama Fantasy,,A workaholic finds a remote that controls time and life but faces the consequences of fast-forwarding through key moments.,None,
Monster House,4.7,6.4,6.6,https://onionplay.se/movies/monster-house-2006/ ,Animation Comedy Family Fantasy Horror,,Three kids discover their neighbor's house is a living breathing monster.,None,
Cars,4.8,8.0,7.2,https://onionplay.se/movies/cars-2006/ ,Animation Adventure Comedy Family Sport,,A race car ends up in a small town and learns valuable life lessons off the track.,None,
High School Musical,4.6,7.4,5.6,https://onionplay.se/movies/high-school-musical-2006/ ,Comedy Drama Family Musical Romance,,Two high school students from different cliques audition for the school musical.,None,
V for Vendetta,4.7,9.0,8.2,https://onionplay.se/movies/v-for-vendetta-2006/ ,Action Drama Sci-Fi Thriller,,In a future British tyranny a shadowy freedom fighter plots to overthrow the oppressive government.,None,
The Chronicles of Narnia: The Lion` the Witch & the Wardrobe,4.8,6.1,6.9,https://onionplay.se/movies/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-2005/ ,Adventure Family Fantasy,,Four children enter a magical world through a wardrobe and fight to save it from eternal winter.,None,
Harry Potter and the Goblet of Fire,4.9,7.4,7.7,https://onionplay.se/movies/harry-potter-and-the-goblet-of-fire-2005/ ,Adventure Family Fantasy Mystery,,Harry competes in a dangerous tournament while Voldemort returns to power.,None,
Pride and Prejudice,4.9,8.9,7.8,https://onionplay.se/movies/pride-prejudice-2005/ ,Drama Romance,,Sparks fly when spirited Elizabeth Bennet meets single rich and proud Mr. Darcy.,None,
Corpse Bride,4.8,7.7,7.4,https://onionplay.se/movies/corpse-bride-2005/ ,Animation Drama Family Fantasy Musical Romance,,A shy groom accidentally proposes to a dead woman who takes him to the Land of the Dead.,None,
The 40-Year-Old Virgin,4.7,8.4,7.1,https://onionplay.se/movies/the-40-year-old-virgin-2005/ ,Comedy Romance,,A middle-aged man's friends try to help him lose his virginity.,None,
Charlie and the Chocolate Factory,4.7,5.1,6.7,https://onionplay.se/movies/charlie-and-the-chocolate-factory-2005/ ,Adventure Comedy Family Fantasy,,A young boy wins a tour of the most eccentric chocolate factory in the world.,None,
Star Wars: Episode III - Revenge of the Sith,4.7,6.6,7.6,https://onionplay.se/movies/star-wars-episode-iii-revenge-of-the-sith-2005/ ,Action Adventure Fantasy Sci-Fi,,Anakin Skywalker falls to the dark side becoming Darth Vader.,None,
Madagascar,4.7,6.7,6.9,No Link ,Animation Adventure Comedy Family,,Zoo animals escape and end up stranded on the island of Madagascar.,None,
National Treasure,4.8,7.6,6.9,https://onionplay.se/movies/national-treasure-2004/ ,Action Adventure Mystery Thriller,,A historian races to find a hidden treasure before a team of mercenaries.,None,
The Incredibles,4.7,7.5,8.0,https://onionplay.se/movies/the-incredibles-2004/ ,Action Adventure Animation Family,,A family of undercover superheroes try to live a quiet life but are forced into action.,None,
The Polar Express,4.8,6.4,6.6,https://onionplay.se/movies/the-polar-express-2004/ ,Animation Adventure Family Fantasy,,A young boy embarks on a magical train ride to the North Pole.,None,
Shark Tale,4.7,4.8,6.0,No Link ,Animation Adventure Comedy Family,,A fish fibs about defeating a shark and becomes an unlikely hero.,None,
Howl's Moving Castle,4.9,9.3,8.2,No Link ,Animation Adventure Drama Family Fantasy Romance,,A young woman cursed by a witch seeks refuge in a wizard's walking castle.,None,
Spider-Man 2,4.8,8.2,7.5,https://onionplay.se/movies/spider-man-2-2004/ ,Action Adventure Sci-Fi,,Peter Parker struggles to balance life and heroism as he battles Doctor Octopus.,None,
Napoleon Dynamite,4.7,7.4,7.0,No Link ,Comedy,,A quirky teenager navigates high school with offbeat friends and a passion for dancing.,None,
Harry Potter and the Prisoner of Azkaban,4.8,8.6,7.9,https://onionplay.se/movies/harry-potter-and-the-prisoner-of-azkaban-2004/ ,Adventure Family Fantasy Mystery,,Harry learns the truth about his godfather Sirius Black while dark creatures haunt the school.,None,
Shrek 2,4.8,6.9,7.3,https://onionplay.se/movies/shrek-2-2004/ ,Adventure Animation Comedy Family Fantasy,,Shrek meets Fiona's parents and faces new challenges as a royal ogre.,None,
Mean Girls,4.7,6.6,7.1,https://onionplay.se/movies/mean-girls-2004/ ,Comedy Drama,,A new girl navigates high school social cliques and learns the cost of popularity.,None,
Shaun of the Dead,4.8,9.3,7.9,https://onionplay.se/movies/shaun-of-the-dead-2004/ ,Comedy Horror Romance,,A London electronics salesman and his slacker roommate attempt to survive a zombie apocalypse while trying to win back his ex-girlfriend.,None,
50 First Dates,4.9,6.5,6.8,https://onionplay.se/movies/50-first-dates-2004/ ,Comedy Romance,,A man falls for a woman with short-term memory loss and must win her over every single day.,None,
Lord of the Rings: The Return of the King,4.9,8.6,9.0,https://onionplay.se/movies/the-lord-of-the-rings-the-return-of-the-king-2003/ ,Action Adventure Drama Fantasy,,Gandalf and Aragorn lead the World of Men against Sauron’s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,None,
Elf,4.8,7.9,7.1,https://onionplay.se/movies/elf-2003/ ,Comedy Family Fantasy,,Raised as an oversized elf` Buddy travels from the North Pole to New York City to meet his biological father` spreading Christmas cheer in a world of cynics.,None,
School of Rock,4.8,6.4,7.2,https://onionplay.se/movies/school-of-rock-2003/ ,Comedy Music,,After being kicked out of his band` a musician poses as a substitute teacher at a prestigious prep school and turns his class into a rock band.,None,
Pirates of the Caribbean: The Curse of the Black Pearl,4.8,8.6,8.1,https://onionplay.se/movies/pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003/ ,Action Adventure Fantasy,,Captain Jack Sparrow teams up with a blacksmith to rescue a kidnapped woman and recover a cursed pirate ship.,None,
Finding Nemo,4.8,8.6,8.2,https://onionplay.se/movies/finding-nemo-2003/ ,Animation Adventure Comedy Family,,After his son is captured in the Great Barrier Reef and taken to Sydney` a timid clownfish sets out on a journey to bring him home.,None,
The Lord of the Rings: The Two Towers,4.9,9.5,8.8,https://onionplay.se/movies/the-lord-of-the-rings-the-two-towers-2002/ ,Action Adventure Drama Fantasy,,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum` the divided fellowship makes a stand against Sauron’s new ally, Saruman, and his hordes of Isengard.,None,
Isle of Dogs,4.7,8.7,7.8,https://onionplay.se/movies/isle-of-dogs-2018/ ,Animation Adventure Comedy Drama Sci-Fi,,In a dystopian future Japan` a young boy sets out to find his dog after all canines are exiled to an island due to a “canine flu” outbreak.,None,
Hereditary,4.3,7.0,7.3,https://onionplay.se/movies/hereditary-2018/ ,Drama Horror Mystery Thriller,,A grieving family is haunted by tragic and disturbing occurrences` unraveling dark secrets and sinister fate.,None,
Star Wars: The Last Jedi,4.5,4.1,6.9,https://onionplay.se/movies/star-wars-the-last-jedi-2017/ ,Action Adventure Fantasy Sci-Fi,,Rey develops her newly discovered abilities with the guidance of Luke Skywalker` who is unsettled by the strength of her powers.,None,
The Greatest Showman,4.8,8.6,7.5,https://onionplay.se/movies/the-greatest-showman-2017/ ,Biography Drama Musical,,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,None,
Coco,4.5,9.4,8.4,https://onionplay.se/movies/coco-2017/ ,Animation Adventure Family Fantasy Music,,Aspiring musician Miguel` confronted with his family’s ancestral ban on music` enters the Land of the Dead to find his great-great-grandfather` a legendary singer.,None,
I` Tonya,4.4,8.8,7.5,https://onionplay.se/movies/i-tonya-2017/ ,Biography Comedy Drama Sport,,Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships` but her future in the sport is thrown into doubt when her ex-husband intervenes.,None,
Spider-Man: Homecoming,4.7,8.7,7.4,https://onionplay.se/movies/spider-man-homecoming-2017/ ,Action Adventure Sci-Fi,,Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man` and finds himself on the trail of a new menace prowling the skies of New York City.,None,
Pirates of the Caribbean: Dead Men Tell No Tales,4.7,6.0,6.5,https://onionplay.se/movies/pirates-of-the-caribbean-dead-men-tell-no-tales-2017/ ,Action Adventure Fantasy,,Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.,None,
Guardians of the Galaxy Vol. 2,4.7,8.7,7.6,https://onionplay.se/movies/guardians-of-the-galaxy-vol-2-2017/ ,Action Adventure Comedy Sci-Fi,,The Guardians struggle to keep together as a team while dealing with their personal family issues` notably Star-Lord’s encounter with his father the ambitious celestial being Ego.,None,
Baby Driver,4.6,8.6,7.5,https://onionplay.se/movies/baby-driver-2017/ ,Action Crime Drama Music Thriller,,After being coerced into working for a crime boss` a young getaway driver finds himself taking part in a heist doomed to fail.,None,
Beauty and the Beast,4.8,9.3,8.0,https://onionplay.se/movies/beauty-and-the-beast-1991/ ,Animation Family Fantasy Musical Romance,,A young woman whose father has been imprisoned by a terrifying beast offers herself in his place` unaware that her captor is actually a prince.,None,
The Lego Batman Movie,4.7,8.0,7.3,https://onionplay.se/movies/the-lego-batman-movie-2017/ ,Animation Action Comedy Family Fantasy,,Batman must learn to work with others to save Gotham from the Joker’s latest scheme.,None,
Get Out,4.6,8.6,7.8,https://onionplay.se/movies/get-out-2017/ ,Horror Mystery Thriller,,A young African-American visits his white girlfriend’s family estate and uncovers a disturbing secret.,Academy Award for Best Original Screenplay + BAFTA for Best Screenplay,
Call Me By Your Name,4.7,8.6,7.8,https://onionplay.se/movies/call-me-by-your-name-2017/ ,Drama Romance,,A coming-of-age romance set in 1980s Italy between a teenage boy and an older male guest of his parents.,Academy Award for Best Adapted Screenplay,
Rogue One: A Star Wars Story,4.7,8.7,7.8,https://onionplay.se/movies/rogue-one-a-star-wars-story-2016/ ,Action Adventure Sci-Fi,,A group of rebels embarks on a mission to steal the plans for the Death Star.,Academy Award Nominations + BAFTA Nomination,
Hidden Figures,4.9,9.3,7.8,https://onionplay.se/movies/hidden-figures-2016/ ,Biography Drama History,,The story of African-American women mathematicians at NASA who played vital roles in the early space program.,SAG Award for Best Cast + Academy Award Nominations,
Doctor Strange,4.5,8.6,7.5,https://onionplay.se/movies/doctor-strange-2016/ ,Action Adventure Fantasy Sci-Fi,,After a car accident` a neurosurgeon discovers a hidden world of magic and alternate dimensions.,None,
